samp	Ct	iSNVCount	iSNVdensity
ID002	35.5 	34	1.172
ID003	38.9 	50	1.724
ID004	29.1 	8	0.276
ID005	38.0 	47	1.621
ID006	29.0 	210	7.241
ID007	16.0 	6	0.207
ID009	24.3 	6	0.207
ID010	18.0 	7	0.241
ID011	25.0 	10	0.345
ID012	25.2 	5	0.172
ID013	28.1 	5	0.172
ID015	28.0 	11	0.379
ID016	26.0 	35	1.207
ID017	24.0 	9	0.31
ID018	37.5 	38	1.31
ID019	36.1 	40	1.379
ID020	35.7 	43	1.483
ID021	30.2 	11	0.379
ID023	38.8 	53	1.828
ID025	38.0 	39	1.345
ID026	20.0 	11	0.379
ID027	25.1 	6	0.207
ID028	26.0 	12	0.414
ID029	32.0 	46	1.586
ID030	21.0 	51	1.759
ID031	30.0 	49	1.69
ID032	25.0 	21	0.724
ID033	29.0 	56	1.931
ID034	21.0 	10	0.345
ID035	26.0 	12	0.414
ID036	32.8 	40	1.379
ID037	26.0 	11	0.379
ID038	35.0 	65	2.241
ID039	30.9 	63	2.172
ID040	35.3 	49	1.69
ID041	34.4 	46	1.586
ID042	29.8 	40	1.379
ID043	39.8 	55	1.897
ID045	30.0 	18	0.621
ID046	32.9 	26	0.897
ID047	24.0 	8	0.276
ID048	24.0 	6	0.207
ID049	34.1 	39	1.345
ID050	27.0 	6	0.207
ID051	29.0 	8	0.276
ID052	30.1 	15	0.517
ID053	22.0 	10	0.345
ID054	28.6 	17	0.586
ID055	22.6 	5	0.172
ID056	24.0 	8	0.276
ID058	22.0 	12	0.414
ID059	16.8 	6	0.207
ID060	36.0 	47	1.621
ID061	25.4 	4	0.138
ID062	33.3 	32	1.103
ID063	28.3 	11	0.379
ID064	28.3 	6	0.207
ID065	24.0 	8	0.276
ID066	26.0 	9	0.31
ID067	32.4 	14	0.483
ID068	22.0 	9	0.31
ID069	29.0 	50	1.724
ID070	31.1 	14	0.483
ID071	37.6 	52	1.793
ID072	33.2 	8	0.276
ID073	32.8 	101	3.483
ID074	25.0 	11	0.379
ID075	38.9 	47	1.621
ID076	34.5 	42	1.448
ID077	30.0 	1	0.034
ID078	24.0 	20	0.69
ID079	30.0 	19	0.655
ID080	32.0 	3	0.103
ID081	34.0 	40	1.379
ID082	34.0 	9	0.31
ID083	36.0 	6	0.207
ID084	31.0 	7	0.241
ID085	29.0 	29	1.0
ID086	33.0 	20	0.69
ID087	34.0 	25	0.862
ID088	33.0 	8	0.276
ID089	37.0 	6	0.207
ID090	30.0 	5	0.172
ID091	28.0 	1	0.034
ID092	38.0 	3	0.103
ID093	36.0 	1	0.034
ID094	30.0 	63	2.172
ID095	34.0 	10	0.345
ID096	34.0 	38	1.31
ID097	32.0 	50	1.724
ID098	32.0 	60	2.069
ID099	32.0 	31	1.069
ID100	32.0 	20	0.69
ID101	32.0 	21	0.724
