samp	Ct	iSNVCount	iSNVdensity
ID007	16.0 	6	0.207
ID009	24.3 	6	0.207
ID010	18.0 	7	0.241
ID011	25.0 	10	0.345
ID012	25.2 	5	0.172
ID013	28.1 	5	0.172
ID015	28.0 	11	0.379
ID016	26.0 	35	1.207
ID017	24.0 	9	0.31
ID026	20.0 	11	0.379
ID027	25.1 	6	0.207
ID028	26.0 	12	0.414
ID030	21.0 	51	1.759
ID032	25.0 	21	0.724
ID034	21.0 	10	0.345
ID035	26.0 	12	0.414
ID037	26.0 	11	0.379
ID047	24.0 	8	0.276
ID048	24.0 	6	0.207
ID050	27.0 	6	0.207
ID053	22.0 	10	0.345
ID054	28.6 	17	0.586
ID055	22.6 	5	0.172
ID056	24.0 	8	0.276
ID058	22.0 	12	0.414
ID059	16.8 	6	0.207
ID061	25.4 	4	0.138
ID063	28.3 	11	0.379
ID064	28.3 	6	0.207
ID065	24.0 	8	0.276
ID066	26.0 	9	0.31
ID068	22.0 	9	0.31
ID074	25.0 	11	0.379
ID078	24.0 	20	0.69
ID091	28.0 	1	0.034
ID108	20.0 	2	0.069
ID112	27.0 	27	0.931
ID113	22.0 	3	0.103
ID115	24.0 	2	0.069
ID117	19.0 	4	0.138
ID122	20.0 	5	0.172
ID125	20.0 	10	0.345
ID126	27.0 	10	0.345
ID127	28.0 	20	0.69
ID129	27.0 	26	0.897
ID130	24.0 	8	0.276
ID131	22.0 	6	0.207
ID132	28.0 	27	0.931
ID133	24.0 	13	0.448
ID136	28.0 	22	0.759
ID137	28.0 	12	0.414
ID138	27.0 	14	0.483
ID139	25.0 	12	0.414
ID140	26.0 	10	0.345
ID142	21.0 	8	0.276
ID143	19.0 	9	0.31
ID145	26.0 	5	0.172
ID146	28.0 	5	0.172
ID149	26.0 	7	0.241
ID150	24.0 	2	0.069
ID151	16.0 	5	0.172
ID154	26.0 	2	0.069
ID155	16.0 	6	0.207
ID157	17.0 	15	0.517
ID159	25.0 	3	0.103
ID165	26.0 	7	0.241
ID167	24.0 	6	0.207
ID169	23.0 	10	0.345
ID170	24.0 	8	0.276
ID171	24.0 	4	0.138
ID172	27.0 	6	0.207
ID173	24.0 	30	1.034
ID175	23.0 	3	0.103
ID176	19.0 	9	0.31
ID178	21.0 	7	0.241
ID179	26.0 	8	0.276
ID180	23.0 	8	0.276
ID183	24.0 	6	0.207
ID187	16.0 	7	0.241
ID188	24.0 	9	0.31
ID191	26.0 	17	0.586
ID193	23.0 	6	0.207
ID194	25.0 	11	0.379
ID196	26.0 	19	0.655
ID197	23.0 	3	0.103
ID198	22.0 	6	0.207
ID199	25.0 	59	2.034
ID200	24.0 	7	0.241
ID163	17.0 	3	0.103
ID164	17.0 	5	0.172
