snpeffFname	pos	eff	Freq	flag
ID035	635	share-Nonsyn	0.1119	Nonsyn
ID170	635	share-Nonsyn	0.0704	Nonsyn
ID172	635	share-Nonsyn	0.0514	Nonsyn
ID063	635	share-Nonsyn	0.2198	Nonsyn
ID053	635	share-Nonsyn	0.0577	Nonsyn
ID068	2712	share-Nonsyn	0.054	Nonsyn
ID058	2712	share-Nonsyn	0.1135	Nonsyn
ID010	2713	share-Nonsyn	0.1041	Nonsyn
ID066	2713	share-Nonsyn	0.053	Nonsyn
ID058	2713	share-Nonsyn	0.1078	Nonsyn
ID136	3424	share-Nonsyn	0.1162	Nonsyn
ID034	3424	share-Nonsyn	0.0671	Nonsyn
ID157	3424	share-Nonsyn	0.0846	Nonsyn
ID169	3424	share-Nonsyn	0.059	Nonsyn
ID188	3424	share-Nonsyn	0.0645	Nonsyn
ID196	3424	share-Nonsyn	0.109	Nonsyn
ID199	3424	share-Nonsyn	0.0776	Nonsyn
ID132	3440	share-Nonsyn	0.0579	Nonsyn
ID136	3440	share-Nonsyn	0.1434	Nonsyn
ID137	3440	share-Nonsyn	0.0546	Nonsyn
ID138	3440	share-Nonsyn	0.0581	Nonsyn
ID034	3440	share-Nonsyn	0.0783	Nonsyn
ID149	3440	share-Nonsyn	0.053	Nonsyn
ID026	3440	share-Nonsyn	0.0572	Nonsyn
ID157	3440	share-Nonsyn	0.1079	Nonsyn
ID169	3440	share-Nonsyn	0.0709	Nonsyn
ID170	3440	share-Nonsyn	0.0579	Nonsyn
ID180	3440	share-Nonsyn	0.0516	Nonsyn
ID188	3440	share-Nonsyn	0.0685	Nonsyn
ID196	3440	share-Nonsyn	0.1339	Nonsyn
ID199	3440	share-Nonsyn	0.0877	Nonsyn
ID066	3947	share-Nonsyn	0.0564	Nonsyn
ID054	3947	share-Nonsyn	0.0649	Nonsyn
ID136	5743	share-Nonsyn	0.1102	Nonsyn
ID129	5743	share-Nonsyn	0.0635	Nonsyn
ID136	5744	share-Nonsyn	0.1121	Nonsyn
ID129	5744	share-Nonsyn	0.0628	Nonsyn
ID078	5810	share-Nonsyn	0.0679	Nonsyn
ID112	5810	share-Nonsyn	0.057	Nonsyn
ID130	5943	share-Nonsyn	0.0553	Nonsyn
ID131	5943	share-Nonsyn	0.0738	Nonsyn
ID132	5943	share-Nonsyn	0.0674	Nonsyn
ID133	5943	share-Nonsyn	0.0637	Nonsyn
ID136	5943	share-Nonsyn	0.2101	Nonsyn
ID138	5943	share-Nonsyn	0.0664	Nonsyn
ID139	5943	share-Nonsyn	0.0934	Nonsyn
ID030	5943	share-Nonsyn	0.0887	Nonsyn
